Msg_id: 16437526954  [Distress: , LIWC Sad: ]
Msg_id: 15759015761  [Distress: , depressive_feelings: ]
Msg_id: 14698819780  [Distress: , depressive_feelings: ]
Msg_id: 16454351914  [Distress: , LIWC Sad: ]
Msg_id: 14404659670  [Distress: , LIWC Sad: ]
Msg_id: 14609873401  [Distress: , LIWC Sad: ]
Msg_id: 14810403838  [Distress: , LIWC Sad: ]
Msg_id: 14987184262  [Distress: , LIWC Sad: ]
Msg_id: 16139281746  [Distress: , suicide_ideation: ]
Msg_id: 15931254152  [Distress: , LIWC Sad: ]
Msg_id: 16281574725  [Distress: , depressive_feelings: ]
Msg_id: 14736791075  [Distress: , LIWC Sad: ]
Msg_id: 16113548398  [Distress: , LIWC Sad: ]
Msg_id: 15033956991  [Distress: , family_violence_discord: ]
Msg_id: 14983005372  [Distress: , LIWC Sad: ]
Msg_id: 16376893121  [Distress: , LIWC Sad: ]
Msg_id: 15229850177  [Distress: , LIWC Sad: ]
Msg_id: 16122812406  [Distress: , LIWC Sad: ]
Msg_id: 16161058677  [Distress: , LIWC Sad: ]
Msg_id: 16094205363  [Distress: , LIWC Sad: ]
Msg_id: 14419006346  [Distress: , LIWC Sad: ]
Msg_id: 16349427417  [Distress: , LIWC Sad: ]
Msg_id: 14953025600  [Distress: , LIWC Sad: ]
Msg_id: 14775588942  [Distress: , LIWC Sad: ]
Msg_id: 15681220389  [Distress: , depressive_feelings: ]
Msg_id: 16078706214  [Distress: , family_violence_discord: ]
Msg_id: 15756184340  [Distress: , LIWC Sad: ]
Msg_id: 16486459828  [Distress: , LIWC Sad: ]
Msg_id: 16350490053  [Distress: , LIWC Sad: ]
Msg_id: 14821019897  [Distress: , LIWC Sad: ]
Msg_id: 15946622600  [Distress: , LIWC Sad: ]
Msg_id: 15339586899  [Distress: , depressive_feelings: ]
Msg_id: 15394570010  [Distress: , suicide_ideation: ]
Msg_id: 16277745198  [Distress: , LIWC Sad: ]
Msg_id: 14565494758  [Distress: , LIWC Sad: ]
Msg_id: 14403222887  [Distress: , LIWC Sad: ]
Msg_id: 14922983875  [Distress: , LIWC Sad: ]
Msg_id: 15219643682  [Distress: , LIWC Sad: ]
Msg_id: 16402852016  [Distress: , LIWC Sad: ]
Msg_id: 15744538942  [Distress: , LIWC Sad: ]
Msg_id: 14573712186  [Distress: , LIWC Sad: ]
Msg_id: 14291578946  [Distress: , LIWC Sad: ]
Msg_id: 16117384855  [Distress: , depressive_feelings: ]
Msg_id: 15443061884  [Distress: , LIWC Sad: ]
Msg_id: 15638484799  [Distress: , depression_symptoms: ]
Msg_id: 14293188742  [Distress: , LIWC Sad: ]
Msg_id: 14641746515  [Distress: , LIWC Sad: ]
Msg_id: 15628988941  [Distress: , impulsivity: ]
Msg_id: 15232398041  [Distress: , LIWC Sad: ]
Msg_id: 15305276664  [Distress: , LIWC Sad: ]
Msg_id: 16106722389  [Distress: , LIWC Sad: ]
Msg_id: 16105489221  [Distress: , LIWC Sad: ]
Msg_id: 15286026859  [Distress: , LIWC Sad: ]
Msg_id: 14409990775  [Distress: , LIWC Sad: ]
Msg_id: 15007026521  [Distress: , LIWC Sad: ]
Msg_id: 16253940738  [Distress: , LIWC Sad: ]
Msg_id: 16500166673  [Distress: , depressive_feelings: ]
Msg_id: 14806799836  [Distress: , LIWC Sad: ]
Msg_id: 15197691514  [Distress: , LIWC Sad: ]
Msg_id: 15874963605  [Distress: , LIWC Sad: ]
Msg_id: 15908662738  [Distress: , depressive_feelings: ]
Msg_id: 16015568714  [Distress: , LIWC Sad: ]
Msg_id: 15970232008  [Distress: , LIWC Sad: ]
Msg_id: 16237086857  [Distress: , LIWC Sad: ]
Msg_id: 15042149437  [Distress: , LIWC Sad: ]
Msg_id: 14696235083  [Distress: , LIWC Sad: ]
Msg_id: 16089704036  [Distress: , LIWC Sad: ]
Msg_id: 15080551832  [Distress: , self_harm: ]
Msg_id: 15176036452  [Distress: , LIWC Sad: ]
Msg_id: 15624597127  [Distress: , suicide_ideation: ]
