Original Tweets
~~~~~~~~~~~~~~~
H---UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
---lele647 (Thu, 20 May 2010 16:54:22 +0000):	@DivaVirgo96 hey sweetie!! miss my old malcolm! #YR
ND---lele647 (Mon, 24 May 2010 16:58:20 +0000):	@NickDevious 30 dollars is about the point i stop too. I am not a big gambler at all, that goodness I can cut myself off, what did u play
H---leche27 (Sat, 29 May 2010 11:11:15 +0000):	Yummy yummy in my tummy!!!!! Now sleep time !! RT @DJHollywoodKO: Breakfast @ Coney Island with my bff (cont) http://tl.gd/1i6ipa
H---ChaisaManelli (Sun, 30 May 2010 08:09:45 +0000):	Off to sleep .. Had fun wit the bff today
H---lele647 (Sun, 06 Jun 2010 18:42:49 +0000):	@KeithBorgnet i am doing great I feel much better today!!! But I am sad i dont think Donnette can see my tweets!! This happens often
H---ComeSeeAbout_T (Fri, 11 Jun 2010 01:17:47 +0000):	@JillyBaby718 we must hang out next week! I got myself a lil romper I'm trying to wear! ;)
HD---UniqueAfrika (Fri, 11 Jun 2010 20:18:14 +0000):	Ok I'm about to take a nap. Feeling very blue
All Tweets
~~~~~~~~~~
UniqueAfrika (Wed, 19 May 2010 02:13:31 +0000):	RT @viceeeVERSA: ppl always say there 1st impression of me that i am mean , if ever meet me what was urs ? im (cont) http://tl.gd/1c71hr
UniqueAfrika (Wed, 19 May 2010 02:15:59 +0000):	@viceeeVERSA I thought u were stuck up but pretty tho. But u aight now. Lmao. U average cabbage. Lol
UniqueAfrika (Wed, 19 May 2010 02:16:50 +0000):	RT @BlipBeven: RT @BeautyfulKirah #theuglyfriend always try to cock block
UniqueAfrika (Wed, 19 May 2010 02:25:15 +0000):	RT @Spazz4Life: #theuglyfriend is always conceited
UniqueAfrika (Wed, 19 May 2010 02:28:16 +0000):	RT @BlipBeven: #theuglygirl always aggressive
UniqueAfrika (Wed, 19 May 2010 02:29:18 +0000):	RT @myfabolouslife: #TheUglyFriend twitter name is always @ barbie or @ dimepiece.. When it should b @ precioustwin!** lmaoooo
UniqueAfrika (Wed, 19 May 2010 02:31:39 +0000):	RT @BlipBeven: #theuglyfriend act like the boys her friends talking to ugly #getthefuckouttahere
UniqueAfrika (Wed, 19 May 2010 02:36:44 +0000):	RT @IAM_BART: #theUglyFriend b having the fattest ass!!!**
UniqueAfrika (Wed, 19 May 2010 02:38:04 +0000):	RT @BlipBeven: #theuglyfriend always gets jumped off**trueeee
UniqueAfrika (Wed, 19 May 2010 02:41:05 +0000):	RT @BlipBeven: lmao RT @smokejonez #theuglyfriend phone be poppin after 2am
UniqueAfrika (Wed, 19 May 2010 02:45:54 +0000):	Dam yall going in on #theuglyfriend TT. Lmao
UniqueAfrika (Wed, 19 May 2010 02:50:54 +0000):	RT @damnnadriane: Y is #theuglyfriend a TT smh** and they goin in 2.
UniqueAfrika (Wed, 19 May 2010 02:58:21 +0000):	Where is @NJGuttah at?
UniqueAfrika (Wed, 19 May 2010 03:06:27 +0000):	@damnnadriane for real A. Enough said.
UniqueAfrika (Wed, 19 May 2010 03:59:28 +0000):	RT @NmyPollyPockets: True or false: sucking dick cause cancer** lmaoooo
UniqueAfrika (Wed, 19 May 2010 04:30:49 +0000):	RT @NJGuttah: RT @Deyor: #theuglyfriend has the most successful relationship and end up married lmao #realtalk.. Thats also #thefatfriend
UniqueAfrika (Wed, 19 May 2010 04:37:42 +0000):	Wanna kno who I'm fucking my money I just married him.
UniqueAfrika (Wed, 19 May 2010 14:26:06 +0000):	RT @dimelovely: lmbo @uniqueafrika y u tell him tht lol i wuld do the same** u talking about ythe stripper shit?
UniqueAfrika (Wed, 19 May 2010 17:26:30 +0000):	&quot;He's fineeee tooooo but I want uuuuuuu&quot;
