userid 	 tweetid 	 tweet
176820981	24577199177	Skinny Latte? How about a SKINNY BODY! It's quick, effective, and affordable! NO DOWNTIME! http://twitpic.com/2oo6a1
176820981	24405640243	The next 20 followers DM for gifts to Cosmetic Procedures Clinic!
176820981	24398640734	Call in the next 10 min and recieve 10% off of any procedure scheduled this week at Cosmetic Procedures Clinic!!! #offers #discounts #DFW
176820981	24397534334	FAT FREE food tastes BAD. A Fat FREE body looks GOOD. Holiday vacation? Suck the fat out of your holiday! Call us today @ 972-386-0443
176820981	22012239294	Laser Liposuction is now affordable. Call us at 972-386-0443 to schedule your FREE consultation. Best prices in DFW!
176820981	20979426193	MELT FAT TODAY! www.cosmeticproceduresclinic.com is offering $1700 per area for laser lipo! Call TODAY for YOUR FREE consult! 972.386.0443
176820981	20825221697	OK @confessionality @EqualityInSight @room_319 @fwstayala @victoriaharres @yomemoi @tjholthaus You guys are great!
176820981	20824237391	@TexasPetExpo Yes. You're right. How silly.
176820981	20824187691	Cool Laser Lipo is now more affordable in the DFW area with 12 months NO INTEREST & low pricing. How low? www.cosmeticproceduresclinic.com
176820981	20823751811	@TexasPetExpo You're welcome! Stop by and see us anytime in North Dallas or give us a jingle at 972-386-0443 for your free consultation!
176820981	20823517581	@Rivescpa You're welcome!
176820981	20807371733	Spread the word about @DallasLaserLipo and receive a $50 referral card to use for a procedure of YOUR choice! Call for details! 972.386.0443
176820981	20806604100	Vist our website at: www.cosmeticproceduresclinic.com to learn how YOU can restore your natural beauty!
155829521	17410249276	Eggs are needed immediately. And a wash.
155829521	17409847595	Back from Glasto and slightly alive...
155829521	16757586873	Do you know what's in your soft drink? http://www.sabotagetimes.com/
155829521	16685663915	Tina said we didn't need another hero. Disagree...http://www.sabotagetimes.com/ #football
155829521	16321176302	Love #swearing #art and #moderntoss? Who ruddy doesn't http://www.sabotagetimes.com/life/
155829521	16320710568	#england #scotland a little bit of harmless racism, surely? http://www.sabotagetimes.com/life/
155829521	16320646924	Anyone know why my links don't shorten?
155829521	16320576395	Take a picture and send it to you...I don't think so. http://www.sabotagetimes.com/life/
155829521	16306647380	Star guitar...
155829521	16306554168	#fifaworldcup you'll find Roonie, but will you find a lovely limited #eng tee with his face on it? No. http://www.sabotagetimes.com/
155829521	16233994561	Why does Jewel keep sabotaging my god damn ipod. Get off whiny woman..
155829521	16219835177	Why can't I get little links?
155829521	16219809770	Thinking about lunch? I would probably def it off and fill up on hilarities. How to f*ck up your day: http://www.sabotagetimes.com/sabotage
155829521	16213101487	Only 2 followers, this saddens me.
155829521	16212138774	Thoughts from @DanielRuizTizon - why? Because he can: http://www.sabotagetimes.com #funny #dating #sex #love
155829521	16211590116	@Livsdarling Are you still on your sweet diet? Surely you're just aiding that?
155829521	16210972597	@Livsdarling You running? Get you!
155829521	16210549195	It is really quite cold out there: warm yourself up with one of these funnies - www.sabotagetimes.com
155829521	16208380224	Oops.
155829521	16208292483	#failwhale is all very well, if you're bored though: www.sabotagetimes.com
63519045	26000346978	@keith_wilson PhD is on presentism. Working on some early literature (McTaggart and Prior) for background.
63519045	25998889593	Long weekend starts now. Off to Sheffield tomorrow.
63519045	25998860992	Productive day on McTaggart.
